id,px,py,pz,cx,cy,cz,r
36,-38.571927,-15.240142,-26.845507,-37.955798,-13.982512,-26.577709,1.490032
37,-0.267967,-19.964782,16.768027,-0.257137,-21.371663,17.706299,1.691090
38,41.549724,-37.263251,53.089415,41.332710,-36.753066,-55.547619,1.990822
39,-8.319067,-13.324147,-49.467619,-8.906071,-13.554214,-48.431223,1.213104
40,16.426020,23.404837,-0.047195,16.356233,23.548672,-0.823444,0.971253
41,6.199606,-8.186799,35.070832,5.950831,-6.809486,35.980582,1.669288
42,44.097320,-54.729496,54.014804,43.627681,-54.614088,53.864059,0.858140
43,34.818682,-44.895749,-9.762796,33.555252,-44.349153,-10.035759,1.597437
44,-42.401301,-34.837752,28.679824,-43.015999,-34.662646,28.236532,0.777833
45,41.834049,-33.579455,41.257856,41.373012,-34.500035,42.060088,1.305220
46,11.697663,-22.390881,53.399677,11.047163,-22.675050,52.607400,1.103442
47,-36.746306,4.626042,15.074391,-37.310367,4.011529,15.946921,1.239388
48,-51.720113,-22.141687,34.784168,-51.567292,-21.684750,35.395553,1.318036
49,4.222467,-17.052178,-46.537289,3.820906,-16.702262,-47.287677,0.920204
50,17.840120,13.364681,52.455224,17.161891,14.246633,52.751399,1.337753
51,41.001483,-42.199018,24.956110,41.506175,-42.082142,25.454334,1.002696
52,54.747928,8.172106,20.911771,54.512903,8.661590,21.370893,0.711073
53,-3.769534,-9.850908,9.646335,-4.256678,-8.871841,11.116643,2.053548
54,-23.337838,26.945373,-22.407570,-23.416385,27.102282,-22.744706,0.380067
55,-4.837625,-4.579872,-51.400148,-5.591772,-5.263237,-51.905617,1.723111
56,2.449588,41.920763,48.586769,1.919128,40.232272,47.883553,1.904443
57,-34.991933,29.541565,18.345539,-36.011474,29.211268,17.806044,1.281969
58,39.097165,-38.413073,-19.987525,40.409744,-38.440804,-20.978242,1.644734
59,-20.694985,-20.271125,31.174226,-21.479535,-20.590931,32.220750,1.346480
60,30.150225,51.221371,38.959754,29.236504,50.492912,38.799897,1.179446
61,5.952074,18.940616,-47.809075,5.489464,18.479632,-47.558860,0.699372
62,-18.846349,4.478180,35.033798,-19.026162,5.800106,35.344155,1.409311
63,14.954217,-26.816364,-47.657447,13.910060,-27.483092,-47.163784,1.333602
64,11.913281,-8.641675,-47.234957,12.957399,-9.318879,-46.344057,1.638957
65,-52.245204,24.234274,49.572780,-51.779686,25.127512,49.814449,1.274725
66,19.929450,4.243873,-33.663269,20.585524,3.177787,-33.283843,1.524177
67,-52.697176,39.010615,10.875371,-53.295919,39.412542,11.773124,1.151520
68,-8.653858,8.238227,-13.860427,-8.607111,7.387792,-13.000769,1.210139
69,27.699303,-30.841815,-41.834270,27.520663,-30.855911,-42.850568,1.031975
70,-9.932077,-44.958180,39.329738,-10.647697,-44.603977,38.603864,1.729890
71,30.010146,42.186910,-46.613880,30.740449,42.069185,-45.554462,1.292118
72,6.544762,-22.023779,5.480940,6.156837,-22.239003,5.652169,0.762462
73,12.350562,-19.247936,-27.067053,11.832397,-19.221691,-27.585103,0.733183
74,40.714095,-4.519811,-40.656189,40.924216,-5.848825,-40.461429,1.590107
75,-28.172241,-1.459820,-7.723892,-28.636851,-2.302016,-7.021175,1.191204
76,23.337687,-41.694822,-25.259863,22.741902,-41.673295,-25.124389,1.204889
77,-7.016307,46.364342,16.328969,-6.621346,45.087774,17.073524,1.529700
78,12.883005,14.806302,29.082453,13.046060,15.388753,29.672650,0.845085
79,13.807849,42.089909,-46.855479,14.431397,42.552330,-46.874238,1.173612
80,-4.999617,-49.684166,30.012849,-6.700509,-49.488251,29.348623,2.171286
81,3.565371,-36.600239,41.045711,3.483868,-35.495933,41.562556,1.864554
82,-33.645783,31.279244,-33.747296,-35.522844,30.215866,-34.113572,2.188216
83,15.544047,52.782844,-41.739700,15.595807,54.280988,-42.394010,1.635616
84,-40.628080,-51.537101,-51.891977,-40.389250,-52.899113,-52.298465,1.945682
85,-37.516425,19.434048,-48.348147,-37.462740,20.068475,-49.619725,1.422073
86,-29.128037,-45.764510,-25.589814,-27.884695,-46.207803,-26.007151,1.916187
87,-52.300887,-42.164589,-31.447530,-52.989984,-42.173978,-32.271083,1.357203
88,-53.249745,-36.483361,-1.317323,-53.230133,-36.506286,-1.366382,0.057594
89,-38.193236,-14.463627,29.448624,-38.646535,-14.381611,30.033163,1.392502
90,0.519229,10.687220,20.489358,0.309027,11.418943,21.260157,1.083390
91,-52.773508,15.048414,54.532553,-52.608568,14.962043,54.326167,0.277957
92,18.168835,29.921601,-18.375800,17.165970,29.606075,-17.795005,1.201090
93,-27.576149,-20.289155,-18.709461,-26.975343,-20.634605,-18.339172,0.785759
94,-54.184806,22.183177,-6.847439,-54.332052,22.214034,-7.253738,0.433258
95,-8.407764,25.614576,36.817243,-7.212119,24.951895,38.134709,1.911589
96,-1.346709,-47.319136,-38.396068,-3.040666,-48.119967,-38.360135,1.874064
97,-43.412716,49.104746,30.908814,-44.317211,48.825910,31.175425,0.983332
98,43.241645,40.404799,49.212216,42.618588,40.740325,48.665263,0.894392
99,33.713373,29.669621,-49.079060,32.817876,28.994825,-48.033493,1.600243
100,37.205432,-11.788946,16.405674,37.180616,-11.407908,16.601325,0.429052
101,-54.188948,3.138702,-48.657979,55.261863,3.299726,-48.670204,1.615619
102,23.580953,-20.641201,19.805700,24.762467,-19.960101,21.041818,1.870299
103,-15.641573,-16.684912,2.179647,-15.495743,-16.168566,3.021508,0.998304
104,21.600852,49.109713,-21.317874,20.566203,49.791028,-20.720817,1.408909
105,-2.408691,-8.485432,22.931782,-3.283435,-8.558157,23.625739,1.230581
106,39.646379,0.751566,-52.988746,39.501228,0.782904,-52.727358,0.300624
107,-20.544977,47.386927,-34.235933,-22.109339,47.735917,-34.506416,1.625480
108,-18.802200,12.012350,-53.263735,-19.720521,11.834673,-51.959625,1.612951
109,38.679684,-4.644066,31.727815,39.715644,-4.763482,31.938523,1.063894
110,3.138384,-54.816537,51.989852,2.468286,-53.701398,52.622912,1.446835
111,-0.122242,39.753532,-15.706377,-0.748546,40.683412,-15.645892,1.122760
112,3.093203,-8.396553,33.739450,2.895571,-8.235881,33.409269,1.004532
113,19.280092,-31.898933,-32.354226,19.393007,-32.256125,-32.883997,0.648839
114,-1.407405,52.682659,1.865365,-1.857766,51.846243,2.279034,1.036117
115,2.816941,14.356226,35.998454,2.780869,14.498243,36.087241,0.171328
116,-42.706999,-44.707432,41.971149,-41.700934,-44.558670,41.294791,1.294580
117,29.070627,16.853530,20.273982,29.786780,17.037554,20.130037,0.753299
118,-43.402734,-2.057441,-25.537537,-42.818612,-1.916959,-25.366685,1.119844
119,-50.316852,-46.576872,41.166945,-50.856287,-47.879824,41.050566,1.414998
120,27.947693,27.854321,-1.618268,28.299490,27.633200,-1.708660,0.425237
121,-26.908865,29.642526,5.960197,-27.206759,29.772983,5.863719,1.330252
122,-5.520471,44.280768,32.156071,-5.146258,43.549513,33.140572,1.504393
123,-47.753300,30.934813,-11.563508,-48.208399,31.283386,-11.925644,1.188230
124,-11.121908,30.647735,-50.081621,-11.111245,31.402124,-50.842665,1.071636
125,-48.437736,11.704374,-42.623383,-49.746192,11.559157,-42.920521,1.873337
126,8.853335,20.748829,23.685837,9.180721,21.305345,22.804977,1.092157
127,-8.564306,8.599251,-28.879350,-10.457114,8.885990,-28.974745,2.244535
128,-15.073199,-47.624068,-0.289742,-14.727242,-45.703671,-0.890094,2.041576
129,19.479858,-39.236507,-25.747344,19.868473,-39.047664,-26.320444,0.717723
130,28.512692,-0.213509,-14.785084,27.796920,-0.731054,-13.846647,1.288738
131,-35.822183,-36.943174,-26.756579,-34.743216,-37.233982,-27.602382,1.430322
132,49.210203,-32.703106,7.886961,49.231427,-33.784472,7.810347,2.267627
133,40.101877,-14.713905,-6.125780,40.275287,-13.002783,-6.927651,2.043375
134,53.033389,-53.504581,-13.588781,52.365196,-53.746097,-12.877923,1.009383
135,41.525229,-10.050814,45.261760,42.544165,-10.681790,46.732139,2.192672
136,-38.506480,8.435834,36.203932,-38.909138,7.657061,35.960794,0.968596
137,-21.457776,-29.471595,29.016324,-22.273152,-29.458576,28.206781,1.149073
138,39.731437,-29.970378,42.597425,39.873113,-30.125238,42.315883,0.489304
139,48.706192,36.636044,-54.792143,49.562543,36.148135,55.976880,1.044968
140,23.578679,-51.420749,-49.994399,22.909216,-50.488971,-50.376827,1.338744
141,-28.229032,-20.937452,-37.395569,-26.944108,-20.403653,-36.918697,2.008253
142,-10.119592,26.581605,26.187007,-11.007028,26.154999,26.076108,0.990876
143,13.488230,47.910656,-23.292959,12.899916,48.041886,-21.994029,1.431975
144,-1.107489,39.273239,10.679829,-0.759215,39.396642,10.372299,0.480726
145,-6.436106,-22.526708,34.601551,-6.454822,-21.928651,35.794050,1.334194
146,30.025651,-6.782030,-44.954857,31.009976,-5.907829,-43.997340,1.627870
147,-53.844348,41.232498,6.860746,-54.474365,40.099173,6.838106,1.296864
148,-23.450725,9.528909,-33.289299,-23.989705,8.549038,-33.235926,1.153505
149,-30.061538,-24.644143,-33.083423,-30.470446,-25.225771,-32.486562,1.438487
150,24.256992,11.124021,10.706881,23.381890,12.013710,11.427380,1.456603
151,-16.888513,1.050929,-23.629645,-18.127835,0.937919,-23.490910,1.438202
152,19.976885,-6.953236,21.863808,21.107107,-7.256487,21.903814,1.170881
153,0.951453,-32.040147,20.808787,0.705172,-30.987064,20.202181,1.240004
154,-20.541581,-3.917995,-15.149642,-20.981165,-3.302385,-14.398730,1.065870
155,50.027726,16.161680,-53.646748,51.325598,15.199877,-53.589405,2.219689
156,-54.411659,24.836961,-20.769691,-54.830315,25.737734,-21.156456,1.065951
157,-33.201599,-45.884004,22.883450,-33.371911,-45.357825,21.634848,1.365605
158,-39.976472,34.945721,19.509592,-40.981907,34.283332,20.203777,1.389802
159,20.969834,-37.745188,-26.735103,21.553290,-38.092311,-27.319463,0.943427
160,-8.657277,-0.504765,-4.037377,-9.147448,0.697656,-4.377157,1.342212
161,-39.959016,16.818210,-32.725496,-39.576718,16.614758,-32.373922,0.557807
162,54.997440,-43.350715,42.769464,53.812854,-43.225996,43.075888,1.786535
163,12.033657,23.470856,36.494046,11.654129,23.513630,35.460716,1.202264
164,28.195759,-45.879147,-53.209584,28.944462,-45.354700,-53.403472,0.934447
165,25.113857,-45.951370,53.713683,24.822201,-46.466848,53.039163,1.211906
166,-21.972419,-8.079490,38.200104,-21.340842,-9.308263,38.239191,1.382136
167,46.293588,52.348475,-21.686212,46.983242,51.641790,-21.920504,1.014850
168,44.713415,22.410366,-20.763849,44.148464,23.005412,-21.258936,1.485443
169,33.327597,12.342193,-55.249972,33.303504,12.933169,54.996594,1.057203
170,-34.535485,-16.857681,37.187913,-34.273600,-17.319316,37.044788,1.076166
171,43.570506,-7.277349,-30.937243,44.483661,-6.666427,-31.869216,1.821504
172,42.249555,-11.889700,41.393276,42.387186,-13.702449,40.687000,1.991856
173,39.634158,-0.587975,43.183832,39.320455,0.760896,43.396440,1.401095
174,32.157243,13.659832,-20.977555,31.099292,13.922533,-21.570477,1.617713
175,2.080203,27.226558,-35.794038,2.805174,27.159532,-34.121679,1.823968
176,10.603272,-35.724542,-43.788489,11.372687,-36.509428,-44.740065,1.453803
177,-27.019664,-0.594169,17.189250,-27.710672,-0.525002,16.557056,1.340598
178,-27.543563,-24.792396,42.732475,-26.554011,-24.625974,42.592132,1.013216
179,11.083587,-15.693036,-37.318276,10.950357,-16.053266,-37.304141,1.533201
180,-18.737186,51.155496,-5.642536,-18.210705,51.430206,-6.238850,0.946848
181,-13.351352,0.075027,-47.821528,-12.282161,0.029775,-48.977753,1.622197
182,-31.950603,-25.562575,51.183913,-31.062530,-24.516224,51.513127,1.656011
183,-43.748403,-21.512117,28.779400,-43.513663,-23.004790,29.037316,1.532872
184,20.902934,36.255739,-54.728897,21.226832,36.868211,55.349395,0.837670
185,4.742698,-40.464287,15.194389,3.935238,-39.871546,16.484660,2.198872
186,-37.702914,41.756841,-54.166021,-38.512480,41.978738,56.182867,1.856920
187,36.289513,-21.636058,46.504080,36.470654,-22.484547,48.249274,1.948961
188,-17.075706,7.961957,-26.071007,-17.204719,7.079783,-26.000000,1.234735
189,47.102641,38.826452,22.980447,46.111993,39.473466,23.584783,1.471716
190,15.813797,-14.893106,51.730102,16.080822,-16.221621,52.079638,1.856796
191,-15.660510,52.972950,41.943126,-15.248874,-56.715920,41.123964,1.652548
192,18.884757,32.956375,13.251434,18.530317,33.975248,12.307771,1.499488
193,28.447278,13.543834,19.355572,28.707477,14.913909,19.228655,1.513874
194,41.521709,-26.466565,-31.603703,41.929404,-25.751594,-30.230739,1.600758
195,43.893323,-54.334083,11.878162,44.155331,-54.316217,11.743719,0.295029
196,8.190461,-14.929653,-41.342494,7.332187,-15.714451,-41.840232,1.265024
197,-23.967599,-39.437423,29.071624,-24.532749,-38.956253,29.170944,0.748856
198,10.060866,8.180688,40.166681,10.311814,7.686608,39.238751,1.080807
199,-11.564232,6.497287,53.174211,-12.744751,7.193902,53.357362,1.382911
200,-54.175231,-45.646281,20.386357,-54.549265,-46.654682,19.460809,1.418948
201,0.814900,-28.923065,12.195461,-0.089442,-30.093658,11.832767,1.660061
202,7.580097,6.153759,-9.175891,8.184089,5.268055,-9.003094,1.192338
203,54.848144,-0.756504,-13.070031,-56.225443,-0.135956,-12.402433,2.079791
204,52.816470,-36.813316,-46.899495,53.402384,-35.654229,-46.556108,1.343388
205,31.262569,-22.081722,-51.946517,31.895084,-22.720424,-52.808509,1.245410
206,-4.502611,-55.227119,13.010307,-4.078865,54.311074,12.758192,1.124746
