id,px,py,pz,cx,cy,cz,lpes,type
5724,6.111187,1.016244,5.206832,5.374944,0.635922,4.647737,0.999643,edge_minus
5725,5.354660,1.283063,3.042874,5.406433,1.009570,2.637355,0.780952,vertex
5726,6.069400,6.280590,9.527752,5.789703,5.992210,-0.094628,0.571357,vertex
5727,8.040929,9.860192,6.984979,8.048505,-0.077034,6.994282,0.063910,interior_minus
5728,5.277351,5.554055,8.595278,5.261964,5.705547,8.649567,0.161660,edge_plus
5729,8.783759,7.945612,8.011750,9.459570,8.318214,8.338577,0.944329,vertex
5730,1.049231,2.069285,0.172551,1.162444,2.132186,-0.091172,0.293809,edge_minus
5731,0.027959,7.500844,4.172546,-0.277053,7.625452,4.510159,0.508840,vertex
5732,3.757374,7.266678,8.077575,3.585506,6.861002,8.468000,0.593203,vertex
5733,0.267313,2.422325,7.408061,9.728548,2.867951,6.998278,0.860711,vertex
5734,2.729273,3.385487,4.484876,2.376243,3.450085,4.820931,0.741673,vertex
5735,8.910417,1.910441,2.244278,8.725671,1.775031,2.366871,0.259800,interior_minus
5736,5.860315,2.516113,2.894396,5.610640,2.914012,2.708640,0.505140,edge_plus
5737,7.149568,3.565556,2.585968,7.087404,3.598704,2.629659,0.082898,edge_plus
5738,9.275750,1.871290,7.877471,-0.686914,1.950964,7.847378,0.092993,interior_plus
5739,0.711769,5.404824,9.182516,0.685069,5.341248,9.202977,0.071927,interior_minus
5740,5.448762,1.955434,2.274486,5.347474,1.327649,2.561732,0.697771,edge_plus
5741,3.021454,8.470940,3.976999,2.793778,8.421813,4.634731,0.697754,edge_plus
5742,9.096244,8.477948,6.473861,9.121132,8.626488,6.900162,0.452124,interior_plus
5743,4.744604,5.660476,4.982416,4.652284,6.166154,5.035019,0.523751,vertex
5744,0.964375,1.030720,0.039092,0.294366,0.868704,10.042883,0.689330,interior_minus
5745,2.204640,2.150966,4.570028,2.280724,2.726504,4.665177,0.588291,edge_minus
5746,9.608111,0.701574,0.999765,9.658863,0.776967,10.306429,0.699267,edge_plus
5747,5.889279,0.057569,8.281020,5.190198,-0.259313,8.338430,0.769690,edge_minus
